X1,X2,mu,Y
0.5463256625269894,0.6800646933601774,0.1747783466064241,0
0.6494641894779144,0.281126272540235,0.8084275719013481,1
0.4940239230887709,0.789026526822953,0.7644744103881551,1
0.7654817851574618,0.1958227219019924,0.999907388961906,1
0.7075276308444515,0.4872249615736144,0.0038013486007829,0
0.0122524788185058,0.3990267423160634,1.9514198618179387e-15,0
0.4308384353449552,0.7827782794044298,0.4856212219954687,0
0.3438573072774989,0.6039652722405469,3.695232528849206e-06,0
0.2934968822697307,0.9702067859068592,0.9903349881315748,1
0.5073563089496564,0.9355347957343882,0.9999229163945648,1
0.8670015490682679,0.695472691844217,0.9950523877164442,1
0.9152577722145764,0.1919583391438538,0.9999999462039842,1
0.2826273765259753,0.4205842025258074,1.1657456185579262e-08,0
0.7757151059610637,0.0111871505749879,0.9999999999999752,1
0.7595812981785774,0.6534847280706756,0.7471370397527515,1
0.2389322136196818,0.2773978143026118,0.0007925516913269,0
0.0254748380157162,0.5961452264413604,2.5923707393886204e-15,0
0.6610876697851513,0.9129188275275985,0.9999994398961596,1
0.460997570086288,0.0688563892298115,0.9993871860391484,1
0.4676627150743049,0.7614370354275088,0.4623035098972849,0
0.9552372622174812,0.7908692585987793,0.9999999605787706,1
0.0923915750752647,0.5726570955203807,1.2397883058564327e-14,0
0.0922119966204744,0.1284295162288811,0.0498334789538514,0
0.3129104441420194,0.700029079028459,0.002050321983243,0
0.646296637117901,0.7032984601775856,0.701574928687268,1
0.1574577549354775,0.5152765302926191,2.3329965465887675e-16,0
0.8424604533653705,0.1495118237070061,0.9999999725045156,1
0.270620143883663,0.7216178155187908,0.0021085916243364,0
0.2875476193479912,0.6074877075409211,3.266263557021236e-07,0
0.5044151805130477,0.8216361799001933,0.9301454802974252,1
0.4192805646757293,0.7763017537150764,0.3892941180152561,0
0.7464468084385995,0.0638821476214351,0.99999999969306,1
0.5248532123016301,0.149325988923464,0.9881516796928737,1
0.80790680238731,0.2347494656291719,0.99964291236937,1
0.9993747285588546,0.4909023090788097,0.5697356160388909,0
0.0330465631298081,0.2874126190045554,3.0170662761933483e-08,0
0.1768217677892509,0.2067690158955242,0.0089625268667564,0
0.6387247871406632,0.047433820449647,0.9999999731452666,1
0.509710355230027,0.5703537491392595,0.0002363023990915,0
0.39080505760618,0.5032709243465409,8.375812947574934e-10,0
0.3573674993750946,0.6681926968356118,0.0010975884690567,0
0.2299114666672397,0.4347087286722572,8.02422117416172e-11,0
0.56317188405854,0.9847946828778636,0.999999950243928,1
0.6348272291711644,0.8833716885745225,0.9999703659563582,1
0.9759568818049096,0.1969221793753907,0.9999999970773624,1
0.4103086100653674,0.380814289018161,0.0002213723048544,0
0.9897176197460807,0.1461707216221182,0.9999999999984572,1
0.900393248403155,0.3231057220771355,0.9944861216919528,1
0.0573362730218655,0.2494756899553695,5.023693926561203e-06,0
0.8253805460041178,0.5772454063970655,0.4202373133851039,0
0.0613244886152635,0.3507653049342193,7.664658996949103e-11,0
0.9087734188195092,0.3139986741256055,0.9975056359305872,1
0.0510912083792732,0.3772287728795637,1.0059007989862084e-12,0
0.4661299751086769,0.3827256245700342,0.0013802862345939,0
0.2304479085213023,0.6206938374441788,6.40148391966693e-08,0
0.652564378840057,0.0284097838928708,0.9999999987189648,1
0.065994458883175,0.0608608294802031,0.2886708013593916,1
0.6441496538391356,0.0353479410781525,0.9999999951110669,1
0.8162998638522118,0.2458901786359799,0.9994131490315422,1
0.5250902726528534,0.5062599644321418,1.8829756609220617e-06,0
0.9080200077355396,0.2819536282537317,0.9997103522669876,1
0.2506948382743779,0.2583359224340056,0.0039097006568841,0
0.5235490243364843,0.9444656044057346,0.9999814473353502,1
0.5837227023184268,0.0498805026335087,0.9999993495519646,1
0.8941272085333745,0.5231117943588146,0.2754232891446782,0
0.5883496840912961,0.3249483236743513,0.2691223090487935,0
0.238527474096154,0.0923564298422148,0.7047619211961595,1
0.1029180129445165,0.700888563154132,3.6529857623521066e-07,0
0.078345214043514,0.3607388923792533,6.324788706695627e-11,0
0.5250063841266247,0.3148951534460636,0.1473563428725549,0
0.7294852411204636,0.1117929117598989,0.9999997892631312,1
0.8582545419770713,0.2024389700909187,0.9999971029393888,1
0.2957037765878617,0.4846610095275713,8.13010598712325e-12,0
0.5061419865250306,0.4607143290228142,1.6416799708112062e-05,0
0.7395873695278394,0.2519730226352048,0.9907738112997682,1
0.6836124085290569,0.7941494255546718,0.9967271339073712,1
0.8187869044110793,0.0184865159419195,0.9999999999999972,1
0.2871387588208809,0.0229817418700128,0.9920619781817548,1
0.0130422898876882,0.945269646144443,0.1674767976264672,0
0.8018284997237541,0.3439970820377059,0.8725114317746172,1
0.8563931218784765,0.4183486062054118,0.578070225788171,0
0.6097734743684227,0.3315782510178522,0.2967294822206477,1
0.0595091875889624,0.3392042254894855,3.0274956192216536e-10,0
0.9406923189102584,0.7231049482571422,0.9999453636429764,1
0.8840107039734838,0.4525991094877226,0.4161022189401596,1
0.966039001193234,0.1333462911058801,0.9999999999986592,1
0.4395043576978127,0.4409143830237969,4.861489410197927e-06,0
0.3672610565790787,0.2291029834637264,0.1815565561260892,0
